device_codename,brand,Retail Branding,Marketing Name,Device
PB1-770M,Lenovo,Lenovo,Lenovo PB1-770M/Lenovo PHAB Plus,PB1-770M
X5Pro,vivo,Vivo,vivo X5Pro,X5Pro
X9006,OPPO,OPPO,X9006,X9006
R11,OPPO,,,
rlk6753_65u_m0,Infinix,,,
Infinix-X572,Infinix,,,
ASUS_Z00D,asus,Asus,ZenFone 2 (ZE500CL),ASUS_Z00D
riva,Xiaomi,,,
D5303,Sony,Sony,Xperia T2 Ultra,D5303
a3ulte,samsung,Samsung,Galaxy A3,a3ulte
M22i,HIMAX,,,
msm8x25q_i7c_smartfren,Smartfren,,,
A5500-HV,Lenovo,Lenovo,Lenovo A5500-HV,A5500-HV
acer_e3,acer,Acer,Liquid E3,acer_e3
HWEVA,HUAWEI,Huawei,P9,HWEVA
S5030AP12H,WIKO,Wiko,LENNY2,S5030AP12H
P90,Lenovo,Lenovo,Lenovo P90,P90
j1minilte,samsung,Samsung,Galaxy J1 Mini,j1minilte
greatlte,samsung,,,
err_value,asus,,,
j3xproltechn,samsung,Samsung,Galaxy J3 Pro,j3xproltechn
mh,lge,,,
addison,motorola,Motorola,Moto Z Play,addison
addison,motorola,Motorola,Moto Z Play Droid,addison
U50A,EVERCOSS,,,
SO-04G,docomo,Sony,Xperia A4,SO-04G
miki8735_tb_m,ADVAN,,,
htc_a55ml_dtul,htc,HTC,HTC E9pt,htc_a55ml_dtul
htc_a55ml_dtul,htc,HTC,HTC E9pw,htc_a55ml_dtul
htc_a55ml_dtul,htc,HTC,HTC One E9PLUS dual sim,htc_a55ml_dtul
htc_a55ml_dtul,htc,HTC,HTC_E9pw,htc_a55ml_dtul
"iPhone8,1",Apple,,,
S920_ROW,Lenovo,Lenovo,,S920_ROW
GEN5,APLUS,,,
elsa,lge,LGE,V20,elsa
my90ds,lge,LGE,LG Magna,my90ds
BV8000Pro,Blackview,,,
miki8735m_8500,ADVAN,,,
trelte,samsung,Samsung,Galaxy Note4,trelte
aries,Xiaomi,Sony,Xperia Z3 Compact,aries
aries,Xiaomi,Xiaomi,MI 2,aries
Infinix-X522,Infinix,,,
i6388,Himax,,,
mido,Xiaomi,,,
sisleylr,Lenovo,Lenovo,Lenovo S60,sisleylr
A316i,Lenovo,Lenovo,Lenovo A316i,A316i
ASUS_X014D_2,asus,Asus,Zenfone GO,ASUS_X014D_2
ASUS_Z00W_63,asus,Asus,ZenFone 2 Laser (ZE550KG),ASUS_Z00W_63
chagalllte,samsung,Samsung,Galaxy TabS 10.5,chagalllte
trltechnzh,samsung,Samsung,Galaxy Note4,trltechnzh
OnePlus3,OnePlus,OnePlus,OnePlus 3,OnePlus3
OnePlus3,OnePlus,OnePlus,OnePlus3,OnePlus3
Y31i,vivo,Vivo,vivo Y31i,Y31i
P1ma40,SAMSUNG,,,
dlxpul,htc,HTC,Butterfly S,dlxpul
dlxpul,htc,HTC,HTC 9060,dlxpul
SG305SH,SG,Sharp,SoftBank 305SH,SG305SH
BP2,SGP,Silent Circle,Blackphone 2,BP2
S1a40,Lenovo,Lenovo,Lenovo S1,S1a40
iris510,iris510,,,
corsica,samsung,Samsung,Galaxy Pocket Neo,corsica
vivalto3mveml3gsea,samsung,Samsung,Galaxy Ace4 Lite,vivalto3mveml3gsea
A536,Lenovo,Lenovo,Lenovo A536,A536
logan2g,samsung,Samsung,Galaxy Star Plus,logan2g
ASUS_Z01H_1,asus,Asus,ZenFone 3 Zoom (ZE553KL),ASUS_Z01H_1
gilda_a21,ADVAN,,,
E6653,Sony,Sony,Xperia Z5,E6653
heroqltetmo,samsung,Samsung,Galaxy S7,heroqltetmo
HWVKY,HUAWEI,,,
Android,POLYTRON_L501,Lenovo,,Android
z2,lge,LGE,LG G Flex2,z2
CT-88,alps,,,
luv20ds,lge,LGE,L20,luv20ds
P821E10,ZTE,ZTE,V8514,P821E10
P821E10,ZTE,ZTE,ZTE V811W,P821E10
acer_Z500,acer,Acer,Liquid Z500,acer_Z500
HWCAM-H,HUAWEI,Huawei,HUAWEI Y6II,HWCAM-H
HWCAM-H,HUAWEI,Huawei,\xe8\x8d\xa3\xe8\x80\x80\xe7\x95\x85\xe7\x8e\xa95A,HWCAM-H
D2403,Sony,Sony,Xperia M2 Aqua,D2403
w7ds,lge,LGE,L90,w7ds
luv80ds,lge,LGE,L Bello,luv80ds
C1905,Sony,Sony,Xperia  M,C1905
C1905,Sony,Sony,Xperia M,C1905
jason,Xiaomi,,,
lava35_sp31_lte_thai,Pixel V2+,,,
hero2qlteue,samsung,Samsung,Galaxy S7 Edge,hero2qlteue
E2115,Sony,Sony,Xperia\xe2\x84\xa2 E4 Dual,E2115
W90918A1_ifinix_HOT_3,INFINIX,,,
S650_ROW,Lenovo,Lenovo,Lenovo S650_ROW,S650_ROW
R1011,OPPO,Oppo,R1011,R1011
R1011,OPPO,Oppo,R1011w,R1011
"iPhone5,1",Apple,,,
zee,lge,LGE,LG G Flex,zee
M5c,meizu,,,
E2303,Sony,Sony,Xperia\xe2\x84\xa2 M4 Aqua,E2303
MX6,Meizu,,,
htc_himaul,htc,HTC,HTC One M9,htc_himaul
falcon_umtsds,motorola,Motorola,Moto G (1st Gen),falcon_umtsds
K10000_Pro,OUKITEL,,,
OnePlus3T,OnePlus,,,
HS8952QC,Hisense,Hisense,E20T,HS8952QC
HS8952QC,Hisense,Hisense,L697,HS8952QC
POLYTRON_R2509,POLYTRON,,,
A319,Lenovo,Lenovo,Lenovo A319,A319
cedric,motorola,,,
GT-P6200,samsung,Samsung,Galaxy Tab 7.0 Plus,GT-P6200
klteatt,samsung,Samsung,Galaxy S5,klteatt
K33a42,Lenovo,Lenovo,Lenovo VIBE K6 Power,K33a42
Y12,HIMAX,,,
ND1,Nokia,,,
s5513ap,WIKO,Wiko,RIDGE\t\t,s5513ap
hwH30-U10,Huawei,Huawei,Honor3,hwH30-U10
htc_himauhl,htc,HTC,HTC M9w,htc_himauhl
htc_himauhl,htc,HTC,HTC One M9,htc_himauhl
z2_plus_hw,ZUK,Zuk,Lenovo Z2 Plus,z2_plus_hw
C1-S02,Coolpad,,,
A0001,oneplus,OnePlus,OnePlus One,A0001
gt5note8lte,samsung,Samsung,Galaxy Tab A 8.0,gt5note8lte
SO-03F,docomo,Sony,Xperia Z2,SO-03F
SCL24,KDDI,Samsung,Galaxy Note Edge,SCL24
helium,Xiaomi,Xiaomi,MI MAX,helium
EVERCOSS A7B,EVERCOSS A7B,,,
j23g,samsung,Samsung,Galaxy J2,j23g
A850_ROW,Lenovo,Lenovo,A850,A850_ROW
EG98,Smartfren,Hisense,EG98,EG98
Z1,SPC,Acer,Z110,Z1
Z1,SPC,Zuk,ZUK Z1,Z1
vee4ds,lge,LGE,LG Optimus L4 II Dual,vee4ds
Cynus_F10,Mobistel,Mobistel,Cynus F10,Cynus_F10
POLYMER_X,POLYMER_X,,,
surnia_umts,motorola,Motorola,Moto E with 4G LTE (2nd Gen),surnia_umts
GIONEE,GIONEE,,,
fortunaltezh,samsung,Samsung,Galaxy Grand Prime,fortunaltezh
F8332,Sony,Sony,Xperia XZ,F8332
NX907J,nubia,,,
F3111,Sony,Sony,Xperia XA,F3111
zenltetmo,samsung,Samsung,Galaxy S6 Edge+,zenltetmo
S890,Lenovo,Lenovo,,S890
N8010,samsung,,,
HIMAX_PURE_3S,HIMAX,,,
gts28lte,samsung,Samsung,Galaxy Tab S2 8.0,gts28lte
HWRNE,HUAWEI,,,
K2L_S00,Coolpad,Coolpad,Coolpad K2L_S00,K2L_S00
c9ltechn,samsung,Samsung,Galaxy C9 Pro,c9ltechn
HWMLA,HUAWEI,Huawei,HUAWEI G9 Plus,HWMLA
HWMLA,HUAWEI,Huawei,HUAWEI nova plus,HWMLA
HWMLA,HUAWEI,Huawei,\xe9\xba\xa6\xe8\x8a\x925,HWMLA
HS8929QC,Hisense,Hisense,C1,HS8929QC
HS8929QC,Hisense,Hisense,C1AE,HS8929QC
HS8929QC,Hisense,Hisense,C1AE-1,HS8929QC
HS8929QC,Hisense,Hisense,C1AE-2,HS8929QC
HS8929QC,Hisense,Hisense,C1BE,HS8929QC
HS8929QC,Hisense,Hisense,C1M,HS8929QC
HS8929QC,Hisense,Hisense,C1T,HS8929QC
HS8929QC,Hisense,Hisense,C20F,HS8929QC
HS8929QC,Hisense,Hisense,C20FE-1,HS8929QC
HS8929QC,Hisense,Hisense,C20W,HS8929QC
HS8929QC,Hisense,Hisense,E70-T,HS8929QC
HS8929QC,Hisense,Hisense,E71-M,HS8929QC
HS8929QC,Hisense,Hisense,E71-T,HS8929QC
HS8929QC,Hisense,Hisense,E75M,HS8929QC
HS8929QC,Hisense,Hisense,E75T,HS8929QC
HS8929QC,Hisense,Hisense,H910,HS8929QC
HS8929QC,Hisense,Hisense,I56D2G,HS8929QC
HS8929QC,Hisense,Hisense,L671,HS8929QC
HS8929QC,Hisense,Hisense,L671W,HS8929QC
HS8929QC,Hisense,Hisense,L671WE_1,HS8929QC
HS8929QC,Hisense,Hisense,L671WE_2,HS8929QC
HS8929QC,Hisense,Hisense,L676BE-1,HS8929QC
HS8929QC,Hisense,Hisense,L676BE-2,HS8929QC
HS8929QC,Hisense,Hisense,L695,HS8929QC
HS8929QC,Hisense,Hisense,L695W,HS8929QC
HS8929QC,Hisense,Hisense,L695WE_2,HS8929QC
HS8929QC,Hisense,Hisense,c20,HS8929QC
HS8929QC,Hisense,Hisense,c20ae,HS8929QC
HS8929QC,Hisense,Hisense,c20fe-3,HS8929QC
HS8929QC,Hisense,Hisense,l676be,HS8929QC
HS8929QC,Hisense,Pantech,V955,HS8929QC
HS8929QC,Hisense,Pantech,v950,HS8929QC
HS8929QC,Hisense,Pantech,v955,HS8929QC
cross8735m_3350,Welcome,,,
j7xeltecmcc,samsung,Samsung,Galaxy J7(2016),j7xeltecmcc
T00F,ASUS,,,
S7,S7,,,
advan8735m_9710,advan,,,
BM180,Bluebird,Bluebird,BM180,BM180
K012,asus,Asus,Fonepad 7 (FE170CG),K012
INFINIX-X600-H533-5M,Infinix,Infinix,INFINIX-X600,INFINIX-X600-H533-5M
A8,Coolpad,Coolpad,Coolpad A8,A8
t960w_v1_a_lt_s50g_maxtron_1s,MAXTRON,,,
INFINIX-X553,INFINIX,Infinix,Infinix HOT 3 LTE,INFINIX-X553
Z1,zuk,Acer,Z110,Z1
Z1,zuk,Zuk,ZUK Z1,Z1
EVERCOSS_A66V,EVERCOSS,,,
jackpot2lte,samsung,,,
tblte,samsung,Samsung,Galaxy Note Edge,tblte
leo,Xiaomi,Sony,Xperia Z3,leo
leo,Xiaomi,Xiaomi,MI NOTE Pro,leo
leo,Xiaomi,ZTE,Z955L,leo
ASUS_T00Q,asus,Asus,ZenFone 4 (A450CG),ASUS_T00Q
royss,samsung,Samsung,Galaxy Young,royss
msm8916_32,POLYTRON,Vivo,vivo X5MaxV,msm8916_32
msm8916_32,POLYTRON,ZTE,Avea inTouch 4,msm8916_32
msm8916_32,POLYTRON,ZTE,Preo Teknosa P1,msm8916_32
msm8916_32,POLYTRON,ZTE,STARXTREM 4,msm8916_32
msm8916_32,POLYTRON,ZTE,TURKCELL T60,msm8916_32
msm8916_32,POLYTRON,ZTE,Ultym 5.2,msm8916_32
msm8916_32,POLYTRON,ZTE,Vodafone Smart ultra 6,msm8916_32
msm8916_32,POLYTRON,ZTE,ZTE Blade Apex3,msm8916_32
msm8916_32,POLYTRON,ZTE,ZTE Blade V2,msm8916_32
msm8916_32,POLYTRON,ZTE,ZTE Blade V220,msm8916_32
A7-30HC,Lenovo,Lenovo,Lenovo  TAB 2 A7-30HC,A7-30HC
A7-30HC,Lenovo,Lenovo,Lenovo TAB 2 A7-30HC,A7-30HC
A7-30HC,Lenovo,Lenovo,LenovoTAB2 A7-30DC,A7-30HC
x2605_dh_l401,EVERCOSS,,,
m3note,Meizu,,,
C6833,Sony,Sony,Xperia Z Ultra,C6833
goya3g,samsung,Samsung,Galaxy Tab3 Lite,goya3g
HWTRT-Q,HUAWEI,,,
klte,samsung,Samsung,Galaxy S5,klte
klte,samsung,Samsung,Galaxy S5 Dual SIM,klte
"iPhone5,3",Apple,,,
advan8321_9719e,advan,,,
G3116,Sony,,,
iris60,LAVA,,,
pplus,lge,LGE,V10,pplus
F03F,DOCOMO,Fujitsu,F-03F,F03F
F5122,Sony,Sony,Xperia X,F5122
MS1,SHARP,Sharp,AQUOS M1,MS1
MS1,SHARP,Sharp,SHARP C1,MS1
yukon,hp,HP,7 VoiceTab,yukon
Haier_Leisure_L7,Haier,,,
E6883,Sony,Sony,Xperia Z5 Premium Dual,E6883
G7,Haier,,,
SH-01F,DOCOMO,Sharp,AQUOS PHONE ZETA  SH-01F,SH-01F
S2_PRO,UMIDIGI,,,
R827,OPPO,OPPO,R827,R827
R827,OPPO,Oppo,R827,R827
on5xfltechn,samsung,Samsung,Galaxy On5(2016),on5xfltechn
j1minive3gxtc,samsung,Samsung,Galaxy J1 Mini Prime,j1minive3gxtc
java_great_a900m,POLYTRON,,,
scorpio,Xiaomi,Anydata,Garmin nuvi3590,scorpio
scorpio,Xiaomi,Anydata,Garmin nuvi3595,scorpio
scorpio,Xiaomi,Garmin,Nuvi 3595,scorpio
scorpio,Xiaomi,Garmin,nuvi 3590,scorpio
scorpio,Xiaomi,Garmin,nuvi 3592,scorpio
scorpio,Xiaomi,Garmin,nuvi 3595,scorpio
scorpio,Xiaomi,Xiaomi,Mi Note2,scorpio
INFINIX-X554,INFINIX,Infinix,Infinix HOT 3,INFINIX-X554
g3,lge,LGE,LG G3,g3
M22,HIMAX,,,
B75,EVERCOSS,,,
P839F30,ZTE,Lyf,LS-5008,P839F30
P839F30,ZTE,ZTE,Amazing X6,P839F30
P839F30,ZTE,ZTE,Blade S,P839F30
P839F30,ZTE,ZTE,Blade S Lite,P839F30
P839F30,ZTE,ZTE,Blade S6,P839F30
P839F30,ZTE,ZTE,Blade S6 Lite,P839F30
P839F30,ZTE,ZTE,ZTE T911,P839F30
P839F30,ZTE,ZTE,ZTE T912,P839F30
P172R10,ZTE,ZTE,Beeline Smart 2,P172R10
P172R10,ZTE,ZTE,ZTE V815W,P172R10
hct6735_35gu_m0,EVERCOSS,,,
m0,samsung,Samsung,Galaxy S3,m0
A8,EVERCOSS,Coolpad,Coolpad A8,A8
grandprimeveltezt,samsung,Samsung,Galaxy Grand Prime,grandprimeveltezt
kona3g,samsung,Samsung,Galaxy Note 8.0,kona3g
K016_1,asus,Asus,Fonepad 8 (FE380CG),K016_1
Y15,vivo,Vivo,vivo Y15,Y15
aqua,Xiaomi,Xiaomi,MI 4s,aqua
deb,google,Asus,Nexus 7 (2013),deb
luv90ds,lge,LGE,G Pro Lite,luv90ds
z220,acer,Acer,Liquid Z220,z220
L50,SPC,,,
ido_xhdpi_global,Xiaomi,,,
Infinix-X521-Pro,Infinix,Infinix,INFINIX-X521,Infinix-X521-Pro
Infinix-X521-Pro,Infinix,Infinix,Infinix-X521,Infinix-X521-Pro
M21,HIMAX,,,
S820_ROW,Lenovo,Lenovo,S820,S820_ROW
D1C,Nokia,,,
OPPO72_13076,OPPO,Oppo,R1001,OPPO72_13076
x600,Letv,LeTV,Letv x600,x600
degas3g,samsung,Samsung,Galaxy Tab4 7.0,degas3g
AD6B1H,Smartfren,Haier,AD6B1H,AD6B1H
panell_d,motorola,,,
v3961,WIKO,,,
C5502,Sony,Sony,Xperia ZR,C5502
namath,motorola,,,
greatqlte,samsung,,,
"iPhone9,1",Apple,,,
zerofltechn,samsung,Samsung,Galaxy S6,zerofltechn
CXQ,CXQ,,,
hwSCL-Q,Huawei,Huawei,Y6,hwSCL-Q
hwSCL-Q,Huawei,Huawei,\xe8\x8d\xa3\xe8\x80\x804A,hwSCL-Q
F8132,Sony,Sony,Xperia X Performance,F8132
SG304SH,SG,Sharp,AQUOS Xx 304SH,SG304SH
cpy90_g00,Coolpad,Coolpad,Coolpad R106,cpy90_g00
P500,Polytron,,,
S660,Lenovo,Lenovo,Lenovo S660,S660
htc_a5dwg,htc,HTC,HTC D816d,htc_a5dwg
htc_a5dwg,htc,HTC,HTC Desire 816 dual sim,htc_a5dwg
hwRIO-AL00,HUAWEI,Huawei,\xe9\xba\xa6\xe8\x8a\x924,hwRIO-AL00
R831,OPPO,OPPO,R831,R831
R831,OPPO,Oppo,R831,R831
ADVAN_E1C_3G,ADVAN,,,
zerofltetmo,samsung,Samsung,Galaxy S6,zerofltetmo
Infinix_X510,ragentek,Infinix,HOT 2,Infinix_X510
Z00A_3,asus,Asus,ZenFone 2(ZE551ML),Z00A_3
zenlte,samsung,Samsung,Galaxy S6 Edge+,zenlte
a9xltechn,samsung,Samsung,Galaxy A9(2016),a9xltechn
a9xltechn,samsung,Samsung,Galaxy-A9(2016),a9xltechn
NX569J,nubia,,,
nobleltevzw,Verizon,Samsung,Galaxy Note5,nobleltevzw
X557,Infinix,Infinix,HOT 4,X557
Infinix-X603,Infinix,,,
HS8909QC,Hisense,Hisense,E10,HS8909QC
HS8909QC,Hisense,Hisense,E51-F,HS8909QC
HS8909QC,Hisense,Hisense,E51-W,HS8909QC
HS8909QC,Hisense,Hisense,F20,HS8909QC
HS8909QC,Hisense,Hisense,F20T,HS8909QC
HS8909QC,Hisense,Hisense,F21T,HS8909QC
HS8909QC,Hisense,Hisense,HIsense E50-T,HS8909QC
HS8909QC,Hisense,Hisense,Hisense D5,HS8909QC
HS8909QC,Hisense,Hisense,Hisense E51-M,HS8909QC
HS8909QC,Hisense,Hisense,Hisense F20,HS8909QC
HS8909QC,Hisense,Hisense,Hisense M20- T,HS8909QC
HS8909QC,Hisense,Hisense,Hisense M30,HS8909QC
V3750AN24K,WIKO,Wiko,ROBBY,V3750AN24K
HWMYA-L6737,HUAWEI,Huawei,HUAWEI Y5 2017,HWMYA-L6737
HWMYA-L6737,HUAWEI,Huawei,Y5 2017,HWMYA-L6737
gilda_p8070,ADVAN,,,
slte,samsung,Samsung,Galaxy Alpha,slte
INFINIX-X552-95M,Infinix,Infinix,Infinix-X552-E1,INFINIX-X552-95M
INFINIX-X552-95M,Infinix,Infinix,Infinix-X552-F1,INFINIX-X552-95M
e8lte,lge,LGE,G pad 8.0 LTE,e8lte
e8lte,lge,LGE,LG G Pad 8.0 L Edition,e8lte
e8lte,lge,LGE,LG G Pad 8.0 LTE,e8lte
CPH1729,OPPO,,,
ADVAN_i_Tab,ADVAN,,,
"iPhone9,4",Apple,,,
SOL23,KDDI,Sony,Xperia Z1,SOL23
BV9000Pro,Blackview,,,
GT-I8160,samsung,Samsung,Galaxy Ace2,GT-I8160
F02G,DOCOMO,Fujitsu,F-02G,F02G
V2,IMO S50,,,
a3ltedd,samsung,Samsung,Galaxy A3,a3ltedd
S860,Lenovo,Lenovo,Lenovo S860,S860
R815,OPPO,OPPO,R815,R815
R815,OPPO,Oppo,R815,R815
iris820,Lava,,,
NX551J,nubia,,,
cross82_3821,EVERCOSS,,,
"iPhone8,4",Apple,,,
A10-70L,Lenovo,Lenovo,Lenovo TAB 2 A10,A10-70L
N1mini,OPPO,Oppo,N1 mimi,N1mini
lt013g,samsung,Samsung,Galaxy Tab3 8.0,lt013g
S5260,WIKO,Wiko,PULP FAB,S5260
SH825Wi,SHARP,Sharp,SH825wi,SH825Wi
E6533,Sony,Sony,Xperia Z3+ Dual,E6533
b1w,lge,LGE,G Pro2,b1w
venice,blackberry,BlackBerry,PRIV by BlackBerry,venice
ASUS_Z01M_1,asus,,,
arubaslimss,samsung,Samsung,Galaxy Core,arubaslimss
arubaslimss,samsung,Samsung,Galaxy Core Safe,arubaslimss
ADVAN,ADVAN,,,
htc_a50dtul,htc,HTC,HTC Desire 820q dual sim,htc_a50dtul
Mi438S_sprout,google,Nexian,Nexian journey one,Mi438S_sprout
E5603,Sony,Sony,Xperia M5,E5603
nobleltetmo,samsung,Samsung,Galaxy Note5,nobleltetmo
g2mds,lge,LGE,G2 MINI,g2mds
F3211,Sony,Sony,Xperia XA Ultra,F3211
htc_himawl,htc,HTC,HTC One M9,htc_himawl
G60,ELEVATE,,,
j2y18lte,samsung,,,
java_fortune_nw466h,ADVAN,,,
advan8392_6922s,advan,,,
treltelgt,samsung,Samsung,Galaxy Note4,treltelgt
jactivelte,samsung,Samsung,Galaxy S4 Active,jactivelte
h533_a1,Infinix,,,
M22s,himax,,,
EVERCOSS A7V,EVERCOSS,,,
ASUS_Z00E_3,asus,Asus,ZenFone 2 Laser (ZE500KL),ASUS_Z00E_3
A5000,Lenovo,Lenovo,Lenovo A5000,A5000
htc_himaulatt,htc,HTC,HTC M9,htc_himaulatt
htc_himaulatt,htc,HTC,HTC One M9,htc_himaulatt
heroqlteue,samsung,Samsung,Galaxy S7,heroqlteue
HM2014818,Xiaomi,Xiaomi,HM 2LTE-IN,HM2014818
d802,LGE,,,
ether,Nextbit,Nextbit,Robin,ether
E6683,Sony,Sony,Xperia Z5 dual,E6683
S55A,EVERCOSS,,,
coreprimelte,samsung,Samsung,Galaxy Core Prime,coreprimelte
S850,Lenovo,Lenovo,Lenovo S850,S850
A6020,Lenovo,,,
pri6737t_66_m0,alps,,,
hwp6-u06,Huawei,Huawei,HUAWEI P6,hwp6-u06
"iPad4,2",Apple,,,
sailfish,google,Google,Pixel,sailfish
SE3,Sharp,,,
POLYMER,HIMAX,,,
jackpotlte,samsung,,,
CPH1801,OPPO,,,
Y31L,vivo,Vivo,vivo Y31L,Y31L
hwH60,Huawei,Huawei,H60,hwH60
hwH60,Huawei,Huawei,H60-J1,hwH60
hwH60,Huawei,Huawei,H60-L01,hwH60
hwH60,Huawei,Huawei,H60-L02,hwH60
hwH60,Huawei,Huawei,H60-L03,hwH60
hwH60,Huawei,Huawei,H60-L04,hwH60
hwH60,Huawei,Huawei,H60-L11,hwH60
hwH60,Huawei,Huawei,H60-L12,hwH60
hwH60,Huawei,Huawei,H60-L21,hwH60
m2a3g,samsung,Samsung,Galaxy K Zoom,m2a3g
htc_a5ul,htc,HTC,HTC Desire 816,htc_a5ul
vince,xiaomi,,,
SO-03G,docomo,Sony,Xperia Z4,SO-03G
CP3505I_S00,Coolpad,,,
Axioo_AX5,Axioo,,,
G8342,Sony,,,
rosy,Xiaomi,,,
E6853,Sony,Sony,Xperia Z5 Premium,E6853
zerofltevzw,Verizon,Samsung,Galaxy S6,zerofltevzw
INFINIX-X551,INFINIX,Infinix,INFINIX-X551,INFINIX-X551
NX573J,nubia,,,
OnePlus5,OnePlus,,,
z2_plus,ZUK,Zuk,Z2,z2_plus
"iPhone8,2",Apple,,,
j5ltechn,samsung,Samsung,Galaxy J5,j5ltechn
sofia3gr,Advan,,,
G36C1H,Smartfren,Smartfren,G36C1H,G36C1H
hwp7,Huawei,Huawei,P7,hwp7
hwp7,Huawei,Huawei,P7-L09,hwp7
SOV32,KDDI,Sony,Xperia Z5,SOV32
ADVAN_i7A,ADVAN,,,
C5302,Sony,Sony,Xperia SP,C5302
l5460,WIKO,Wiko,FEVER,l5460
acer_z205,acer,Acer,Liquid Z205,acer_z205
acer_e39,acer,Acer,Liquid E700,acer_e39
M631Y,CMCC,Yes,M631Y,M631Y
SM-N950F,samsung,,,
C46B2H,Smartfren,Haier,C46B2H,C46B2H
SCV31,KDDI,Samsung,Galaxy S6 Edge,SCV31
hlte,samsung,Samsung,Galaxy Note3,hlte
hlte,samsung,Samsung,Galaxy Note3 Duos,hlte
htc_m8wl,htc,HTC,HTC One (M8),htc_m8wl
msm8610,MITO,Coolpad,Coolpad 5217,msm8610
heroqltevzw,Verizon,Samsung,Galaxy S7,heroqltevzw
SC-02G,samsung,Samsung,Galaxy S5 Active,SC-02G
AD686G,Smartfren,Hisense,Andromax-c,AD686G
c7proltechn,samsung,,,
herolteskt,samsung,Samsung,Galaxy S7,herolteskt
R50A,EVERCOSS,Elevate,R50A,R50A
A68,MITO,Asus,PadFone 2,A68
A68,MITO,Lava,A68,A68
vivalto5mve3g,samsung,Samsung,Galaxy Ace4,vivalto5mve3g
albus,motorola,,,
SBM302SH,SBM,Sharp,AQUOS PHONE Xx 302SH,SBM302SH
lava35m_sp461,Lava,,,
h6198,Himax,,,
E2053,Sony,Sony,Xperia E4g,E2053
i3L,Kata,,,
m1621,Meizu,,,
AF9900,AF9900,,,
SO-02H,docomo,Sony,Xperia Z5 Compact,SO-02H
P780_ROW,Lenovo,Lenovo,P780,P780_ROW
bbk82_wet_jb5,vivo,,,
OnePlus5T,OnePlus,,,
marlin,google,Google,Pixel XL,marlin
HS6735MT,Hisense,Hisense,D2-M,HS6735MT
HS6735MT,Hisense,Hisense,F30,HS6735MT
HS6735MT,Hisense,Hisense,Hisense F30,HS6735MT
HS6735MT,Hisense,Hisense,Hisense L675,HS6735MT
k3388,Evercoss,,,
E2306,Sony,Sony,Xperia\xe2\x84\xa2 M4 Aqua,E2306
taimen,google,,,
B6s,B6s,,,
js01lte,samsung,,,
NB1,Nokia,,,
iPhone,iPhone,,,
E6782,kyocera,Kyocera,Brigadier,E6782
ASUS_X00K_1,asus,,,
K10e70,Lenovo,Lenovo,Lenovo K10e70,K10e70
klondike,hp,HP,7 Voice Tab,klondike
NX505J,nubia,ZTE,NX505J,NX505J
zeroltetmo,samsung,Samsung,Galaxy S6 Edge,zeroltetmo
hct6735_35gu_l1,EVERCOSS,,,
SC-02F,samsung,Samsung,Galaxy Note3,SC-02F
potter,motorola,,,
S50D,qcom,,,
T012,acer,Acer,Liquid Z320,T012
X8 Pro,alps,,,
ghost,motorola,Motorola,Moto X (1st Gen),ghost
VF-895N,Vodafone,Vodafone,Vodafone 895,VF-895N
lithium,Xiaomi,Xiaomi,MIX,lithium
kltetmo,samsung,Samsung,Galaxy S5,kltetmo
ASUS_X018_1,asus,,,
sltektt,samsung,Samsung,Galaxy Alpha,sltektt
star2lte,samsung,,,
E1M,Nokia,,,
jflte,samsung,Samsung,Galaxy S4,jflte
gts28velte,samsung,Samsung,Galaxy Tab S2 8.0,gts28velte
HWSTF,HONOR,,,
E5803,Sony,Sony,Xperia Z5 Compact,E5803
hwmt7,Huawei,Huawei,Mate 7,hwmt7
griffin,motorola,Motorola,Moto Z,griffin
griffin,motorola,Motorola,Moto Z Droid,griffin
msm8974,vivo,ZTE,MF97B,msm8974
msm8974,vivo,ZTE,MF97B_T,msm8974
msm8974,vivo,ZTE,MF97E,msm8974
msm8974,vivo,ZTE,MF97G,msm8974
msm8974,vivo,ZTE,Spro 2,msm8974
msm8974,vivo,ZTE,Spro2,msm8974
msm8974,vivo,ZTE,ZTE Grand S II LTE,msm8974
msm8974,vivo,ZTE,ZTE S2004,msm8974
msm8974,vivo,ZTE,ZTE S2005,msm8974
msm8974,vivo,ZTE,ZTE S2007,msm8974
B16C3H,Xiaomi,,,
mido,Xiaomi nitrogen,,,
htc_acawhl,htc,Sprint,HTC Bolt,htc_acawhl
treltektt,samsung,Samsung,Galaxy Note4,treltektt
heroqlteatt,samsung,Samsung,Galaxy S7,heroqlteatt
htc_ocndugl,htc,,,
ASUS_Z010D,asus,,,
F6,F6,,,
C103,Coolpad,Coolpad,Coolpad C103,C103
bbk92_wet_jb9,vivo,,,
a6000,Lenovo,,,
victara,motorola,Motorola,Moto X (2nd Gen),victara
M21s,HIMAX,,,
CoolpadY76_I01,Coolpad,,,
wiko,WIKO,,,
ADVAN_G2,ADVAN,,,
Infinix-X573,Infinix,,,
HNNEM-H,HONOR,Huawei,Honor 5C,HNNEM-H
HNNEM-H,HONOR,Huawei,\xe8\x8d\xa3\xe8\x80\x80\xe7\x95\x85\xe7\x8e\xa95C,HNNEM-H
MITO A33,MITO A33,,,
POLYTRON_P552,POLYTRON,,,
P024_4,asus,Asus,Zenpad 8 LTE,P024_4
htc_pmeuhl,htc,HTC,HTC 10,htc_pmeuhl
