device_codename,brand,Retail Branding,Marketing Name,Device
C6903,Sony,Sony,Xperia Z1,C6903
P2a42,Lenovo,Lenovo,P2,P2a42
1714,vivo,Vivo,Y69,1714
HWVNS-H,HUAWEI,Huawei,P9 lite,HWVNS-H
1716,vivo,Vivo,V7+,1716
ASUS_T00I,asus,Asus,Zenfone 4 (2014),ASUS_T00I
F1f,OPPO,Oppo,F1,F1f
E561,Coolpad,Coolpad,Fancy E561,E561
CPH1717,OPPO,Oppo,A71,CPH1717
A2010-a,Lenovo,Lenovo,A2010,A2010-a
virgo,Xiaomi,Xiaomi,Mi Note,virgo
CPH1725,OPPO,Oppo,F5 Youth,CPH1725
X602,Infinix,Infinix,Zero 4 Plus,X602
noblelte,samsung,Samsung,Galaxy Note5,noblelte
R7f,OPPO,Oppo,R7 lite,R7f
P1ma40,Lenovo,Lenovo,Vibe P1m,P1ma40
"iPhone7,2",Apple,Apple,iPhone 6,"iPhone7,2"
angus3A4,Lenovo,Lenovo,Vibe C,angus3A4
HWHol-U,HUAWEI,Honor,Holly,HWHol-U
mx4pro,Meizu,Meizu,MX4 Pro,mx4pro
a3y17lte,samsung,Samsung,Galaxy A3 (2017),a3y17lte
S50D,EVERCOSS,,,
ASUS_T00N,asus,Asus,PadFone S,ASUS_T00N
j3y17lte,samsung,Samsung,Galaxy J3 (2017),j3y17lte
jadelte,samsung,Samsung,Galaxy J7 (2017),jadelte
CROSS2,TCL,alcatel,Flash Plus,CROSS2
Y28,vivo,Vivo,Y28,Y28
mlt6755_65t_m,POLYTRON,,,
ADVAN_A8,ADVAN,,,
Z01B_1,asus,Asus,Zenfone 3 Laser ZC551KL,Z01B_1
lt023g,samsung,Samsung,Galaxy Tab 3 7.0,lt023g
ASUS_X008_1,asus,Asus,Zenfone 3 Max ZC520TL,ASUS_X008_1
"iPhone6,2",Apple,Apple,iPhone 5s,"iPhone6,2"
fortuna3g,samsung,Samsung,Galaxy Grand Prime,fortuna3g
F3212,Sony,Sony,Xperia XA Ultra,F3212
dreamlte,samsung,Samsung,Galaxy S8,dreamlte
A6600d40,Lenovo,Lenovo,A6600,A6600d40
"iPhone5,2",Apple,Apple,iPhone 5,"iPhone5,2"
1610,vivo,Vivo,Y55s,1610
p1,lge,LGE,G4,p1
HWCUN-L6735,HUAWEI,Huawei,Y5II,HWCUN-L6735
PLE,Nokia,Nokia,6,
j1acelte,samsung,Samsung,Galaxy J1 Ace,j1acelte
EVERCOSS_S50,EVERCOSS,,,
armani,Xiaomi,Xiaomi,Redmi 1S,armani
ASUS_X00IDC,asus,Asus,Zenfone 4 Max ZC554KL,ASUS_X00IDC
ph1,lge,LGE,Stylus 2,ph1
m2,Meizu,Meizu,M2,m2
cancro,Xiaomi,Xiaomi,Mi 4 LTE,cancro
U50A_PLUS,EVERCOSS,,,
ASUS_Z00E_2,asus,Asus,Zenfone 2 Laser ZE500KL,ASUS_Z00E_2
A369i,Lenovo,Lenovo,A369i,A369i
Infinix-X571,Infinix,Infinix,Note 4 Pro,Infinix-X571
j1acevelte,samsung,Samsung,Galaxy J1 Ace,j1acevelte
j7velte,samsung,Samsung,Galaxy J7 Nxt,j7velte
E5333,Sony,Sony,Xperia C4 Dual,E5333
U20,Meizu,Meizu,U20,U20
baffin,samsung,Samsung,Galaxy Grand I9082,baffin
HS8929QC,Smartfren,Hisense,C1,HS8929QC
t03g,samsung,Samsung,Galaxy Note II N7100,t03g
LAVA_R1,Lava,,,
c9lte,samsung,Samsung,Galaxy C9 Pro,c9lte
ADVAN_i5C_Plus,ADVAN,,,
A6600a40,Lenovo,Lenovo,A6600 Plus,A6600a40
unknown,Xiaomi,,,
gracerlte,samsung,Samsung,Galaxy Note FE,gracerlte
rlk6737m_35g_c_m0,ADVAN,,,
k7,lge,LGE,X cam,k7
7 Plus,APPLE,Apple,iPhone 7 Plus,
zoom_row,Lenovo,Lenovo,Vibe Shot,zoom_row
bd6735_65u_b_l1,POLYTRON,,,
alicee,lge,LGE,G5 SE,alicee
A3_4G,Lava,,,
D6503,Sony,Sony,Xperia Z2,D6503
ugg,xiaomi,Xiaomi,Redmi Y1 (Note 5A),
E5633,Sony,Sony,Xperia M5 Dual,E5633
msf3,lge,LGE,Stylus 3,
X601-LTE,Infinix,Infinix,Note 3 Pro,X601-LTE
CPH1613,OPPO,Oppo,F3 Plus,CPH1613
gtexslte,samsung,Samsung,Galaxy Tab A 7.0 (2016),gtexslte
NE1,Nokia,Nokia,3,
mm1v,lge,LGE,K8,mm1v
mk6p,lge,LGE,X power,mk6p
HS8916QC,Smartfren,Smartfren,Andromax C4,HS8916QC
D2302,Sony,Sony,Xperia M2 dual,D2302
F3116,Sony,Sony,Xperia XA,F3116
lava35m_sp45,LAVA,lava,A59,
melius3g,samsung,Samsung,Galaxy Mega 6.3 I9200,melius3g
g2,lge,LGE,G2,g2
R7sf,OPPO,Oppo,R7s,R7sf
D2305,Sony,Sony,Xperia M2,D2305
ASUS_X00HD_1,asus,Asus,Zenfone 4 Max ZC520KL,ASUS_X00HD_1
iris702,Lava,,,
ASUS_Z00L_63,asus,Asus,Zenfone 2 Laser ZE550KL,ASUS_Z00L_63
D5803,Sony,Sony,Xperia Z3 Compact,D5803
crater,samsung,Samsung,Galaxy Mega 5.8 I9150,crater
baffinlite,samsung,Samsung,Galaxy Grand Neo,baffinlite
"iPhone9,2",Apple,Apple,iPhone 7 Plus,"iPhone9,2"
a7y17lte,samsung,Samsung,Galaxy A7 (2017),a7y17lte
i5C,ADVAN,,,
Y51L,vivo,Vivo,Y51,Y51L
a5lte,samsung,Samsung,Galaxy A5,a5lte
A66A*,EVERCOSS,,,
F01F,DOCOMO,Fujitsu,F-01F,F01F
Infinix_X510_sprout,Infinix,Infinix,Hot 2,Infinix_X510_sprout
A11w,OPPO,Oppo,Joy 3,A11w
j13g,samsung,Samsung,Galaxy J1,j13g
C5503,Sony,Sony,Xperia ZR,C5503
Infinix_X509,Infinix,Infinix,Zero 2,Infinix_X509
kanas,samsung,Samsung,Galaxy Core II,kanas
V3,vivo,Vivo,V3,V3
1611,vivo,Vivo,V5 Plus,1611
E5663,Sony,Sony,Xperia M5 Dual,E5663
mp1s3gds,lge,LGE,G4 Stylus,mp1s3gds
gtanotexllte,samsung,Samsung,Galaxy Tab A 10.1 (2016),gtanotexllte
A7000-a,Lenovo,Lenovo,A7000,A7000-a
Y21,vivo,Vivo,Y21,Y21
D2502,Sony,Sony,Xperia C3 Dual,D2502
A7700,Lenovo,Lenovo,A7700,A7700
HM2014811,Xiaomi,Xiaomi,Redmi 2,HM2014811
goyave3gsea,samsung,Samsung,Galaxy Tab 3 V,goyave3gsea
iris870,Lava,,,
A65_sprout,google,Evercoss,One X,A65_sprout
nicklaus_f,motorola,Motorola,Moto E4 Plus,nicklaus_f
a8elte,samsung,Samsung,Galaxy A8,a8elte
advan8321_9709,Advan,,,
meri,Xiaomi,Xiaomi,Mi 5c,meri
ASUS_Z011,asus,Asus,Zenfone 2 Laser ZE601KL,ASUS_Z011
taido_row,motorola,Motorola,Moto E3 Power,taido_row
a9xproltesea,samsung,Samsung,Galaxy A9 Pro (2016),a9xproltesea
C6802,Sony,Sony,Xperia Z Ultra,C6802
T01,acer,Acer,Liquid Z330,T01
lava72_sp49th,LAVA,lava,A72,
E6553,Sony,Sony,Xperia Z3+,E6553
INFINIX-X553-A1,INFINIX,Infinix,Hot 3 LTE,INFINIX-X553-A1
VENGE(AX5),Axioo,,,
A26C4H,Smartfren,Smartfren,A26C4H,A26C4H
v12bnlite,WIKO,,,
Vandroid,ADVAN,,,
E2353,Sony,Sony,Xperia M4 Aqua,E2353
CPH1727,OPPO,Oppo,F5,CPH1727
C2305,Sony,Sony,Xperia C,C2305
G3312,Sony,Sony,Xperia L1,G3312
zx55q05_64,ZTE,ZTE,V5 Lux,
ASUS_X014D_1,asus,Asus,Zenfone Go ZB452KG,ASUS_X014D_1
dream2lte,samsung,Samsung,Galaxy S8+,dream2lte
s5201ap,WIKO,Wiko,Lenny,s5201ap
X9076,OPPO,OPPO,Find 7,X9076
SBM303SH,SBM,Sharp,Aquos Xx,SBM303SH
e73g,samsung,Samsung,Galaxy E7,e73g
java_great_a900,POLYTRON,,,
M3s,Meizu,Meizu,M3s,M3s
natrium,Xiaomi,Xiaomi,Mi 5s Plus,natrium
msm8226,IVO,,,
hct6750_c66_b_m,DOOGEE,,,
Pixi4-5,TCL,alcatel,Pixi 4 (5),Pixi4-5
hl3g,samsung,Samsung,Galaxy Note 3 Neo,hl3g
t0ltelgt,samsung,Samsung,Galaxy Note II N7100,t0ltelgt
G8232,Sony,Sony,Xperia XZs,G8232
ASUS_X00IDB,asus,Asus,Zenfone 4 Max ZC554KL,
j1xlte,samsung,Samsung,Galaxy J1 (2016),j1xlte
POLYTRON_4G551,POLYTRON,,,
ja3g,samsung,Samsung,I9500 Galaxy S4,ja3g
M23i,M23i,,,
D6603,Sony,Sony,Xperia Z3,D6603
h533_b1,Infinix,Infinix,Note 2,
sisleyr,Lenovo,Lenovo,S90 Sisley,sisleyr
HWTAG-L6753,HUAWEI,Huawei,Enjoy 5s,HWTAG-L6753
hwCHM-H,Honor,Honor,4C,hwCHM-H
ASUS_A007,asus,Asus,Zenfone Live ZB501KL,
HS8610QC,Smartfren,Smartfren,NC36B1G,HS8610QC
v3953,WIKO,,,
k5,lge,LGE,X screen,k5
ASUS_X009D_2,asus,Asus,Zenfone Go ZB450KL,ASUS_X009D_2
CPY83_S00,Coolpad,Coolpad,Mega,CPY83_S00
mlv7,lge,LGE,X power,
P024_2,asus,Asus,Zenpad 8.0 Z380KL,P024_2
Y72_921,Coolpad,Coolpad,Y72-921,
ha3g,samsung,Samsung,Galaxy Note 3,ha3g
"iPhone7,1",Apple,Apple,iPhone 6 Plus,"iPhone7,1"
young23g,samsung,Samsung,Galaxy Young 2,young23g
M20i,HIMAX,,,
me1ds,lge,LGE,K4,me1ds
omega,Xiaomi,Xiaomi,Redmi Pro,omega
HM2014813,Xiaomi,Xiaomi,Redmi 2,HM2014813
"iPhone10,2",Apple,Apple,iPhone 8 Plus,"iPhone10,2"
arubaslim,samsung,Samsung,Galaxy Core I8260,arubaslim
R7Plusm,OPPO,Oppo,R7 Plus,R7Plusm
HWKII-Q,HUAWEI,Honor,6X,HWKII-Q
acer_z520,acer,Acer,Liquid Z520,acer_z520
MEIZU_M5,Meizu,Meizu,M5,
SM-G925F,samsung,Samsung,Galaxy S6 edge,SM-G925F
ASUS_T00G,asus,Asus,Zenfone 6 A600CG,ASUS_T00G
m2note,Meizu,Meizu,M2 Note,m2note
G55,LUNA,,,
Android,POLYTRON,,,
gucci,Xiaomi,Xiaomi,Redmi Note 4G,gucci
ADVAN_I5E,ADVAN,,,
EVERCOSS,EVERCOSS,,,
HM2014819,Xiaomi,Xiaomi,Redmi 2,HM2014819
logan,samsung,Samsung,Galaxy Ace 3,logan
Lion-5,TCL,alcatel,Flash 2,Lion-5
g808_x551_b1_in_30a,Infinix,Infinix,Hot Note,
R108,Coolpad,Coolpad,Torino,R108
trelteskt,samsung,Samsung,Galaxy Note 4,trelteskt
EVERCOSS-A75L,EVERCOSS-A75L,,,
p1,KDDI,LGE,G4,p1
lucye,lge,LGE,G6,
POLYTRON_4G503,POLYTRON,,,
c7ltechn,samsung,Samsung,Galaxy C7,c7ltechn
a7xelte,samsung,Samsung,Galaxy A7 (2016),a7xelte
b2lds,lge,LGE,G Vista,b2lds
V55C,ELEVATE,Elevate,V55C,V55C
ASUS_Z012D,asus,Asus,Zenfone 3 ZE552KL,ASUS_Z012D
shamu,google,Motorola,Nexus 6,shamu
m253,lge,LGE,K10,m253
OPPO72_14079,OPPO,,,
htc_pmewl,htc,HTC,10,htc_pmewl
CoolpadA118,Coolpad,Coolpad,Roar,
X556,Infinix,Infinix,Hot 4 Pro,X556
SM-G9350,samsung,Samsung,Galaxy S7 edge,SM-G9350
CP8722_S00,Coolpad,Coolpad,Roar Plus,CP8722_S00
AT8D,AT8D,,,
D5788,Sony,Sony,Xperia Z1 Compact,D5788
htc_m8,htc,HTC,One (M8),htc_m8
MSM8909QC,Smartfren,Smartfren,B16C2G,MSM8909QC
w822_648_aw_ys_r3_c03_ddr3,icherry,,,
F04G,DOCOMO,Fujitsu,F-04G,F04G
ASUS_Z00SD,asus,Asus,Zenfone Go ZC451TG,ASUS_Z00SD
R821,OPPO,OPPO,R821T FInd Muse,R821
on5xlltechn,samsung,Samsung,Galaxy On5 (2016),on5xlltechn
R50B,R50B,,,
Blackview,Blackview,Blackview,Blackview BV6000,Blackview
M5Note,Meizu,Meizu,M5 Note,
1201,OPPO,Oppo,Neo 5,1201
advan8735m_9706c,advan,,,
AD681H,Smartfren,Haier,Smartfren Andromax AD681H,AD681H
X2-AP,Lenovo,Lenovo,Vibe X2,X2-AP
TB3-730X,Lenovo,Lenovo,Tab3 7,TB3-730X
mega2lte,samsung,Samsung,Galaxy Mega 2,mega2lte
BLAUPUNKT_X1plus,BLAUPUNKT,,,
PB1-770M,Lenovo,Lenovo,Phab Plus,PB1-770M
X5Pro,vivo,Vivo,X5Pro,X5Pro
X9006,OPPO,Oppo,Find 7a,X9006
R11,OPPO,Oppo,R11,
rlk6753_65u_m0,Infinix,Infinix,Hot S,
Infinix-X572,Infinix,Infinix,Note 4,
ASUS_Z00D,asus,Asus,Zenfone 2 ZE500CL,ASUS_Z00D
riva,Xiaomi,Xiaomi,Redmi 5A,
D5303,Sony,Sony,Xperia T2 Ultra,D5303
a3ulte,samsung,Samsung,Galaxy A3,a3ulte
M22i,HIMAX,,,
msm8x25q_i7c_smartfren,Smartfren,,,
A5500-HV,Lenovo,Lenovo,A8-50 A5500,A5500-HV
acer_e3,acer,Acer,Liquid E3,acer_e3
HWEVA,HUAWEI,Huawei,P9,HWEVA
S5030AP12H,WIKO,Wiko,Lenny2,S5030AP12H
P90,Lenovo,Lenovo,P90,P90
j1minilte,samsung,Samsung,Galaxy J1 mini prime,j1minilte
greatlte,samsung,Samsung,Galaxy Note8,greatlte
err_value,asus,,,
j3xproltechn,samsung,Samsung,Galaxy J3 Pro,j3xproltechn
mh,lge,LGE,Q6,
addison,motorola,Motorola,Moto Z Play,addison
U50A,EVERCOSS,,,
SO-04G,docomo,Sony,Xperia Z3 Compact,SO-04G
miki8735_tb_m,ADVAN,,,
htc_a55ml_dtul,htc,HTC,One E9+,htc_a55ml_dtul
"iPhone8,1",Apple,Apple,iPhone 6s,"iPhone8,1"
S920_ROW,Lenovo,Lenovo,S920,S920_ROW
GEN5,APLUS,,,
elsa,lge,LGE,V20,elsa
my90ds,lge,LGE,Magna,my90ds
BV8000Pro,Blackview,,,
miki8735m_8500,ADVAN,,,
trelte,samsung,Samsung,Galaxy Note 4,trelte
aries,Xiaomi,Xiaomi,Mi 2,aries
Infinix-X522,Infinix,Infinix,S2 Pro,
i6388,Himax,,,
mido,Xiaomi,Xiaomi,Redmi Note 4,
sisleylr,Lenovo,Lenovo,S60,sisleylr
A316i,Lenovo,Lenovo,A316i,A316i
ASUS_X014D_2,asus,Asus,Zenfone Go ZB452KG,ASUS_X014D_2
ASUS_Z00W_63,asus,Asus,Zenfone 2 Laser ZE500KL,ASUS_Z00W_63
chagalllte,samsung,Samsung,Galaxy Tab S 10.5,chagalllte
trltechnzh,samsung,Samsung,Galaxy Note 4,trltechnzh
OnePlus3,OnePlus,OnePlus,3,OnePlus3
Y31i,vivo,Vivo,Y31i,Y31i
P1ma40,SAMSUNG,,,
dlxpul,htc,HTC,Butterfly S,dlxpul
SG305SH,SG,Sharp,Aquos Crystal,SG305SH
BP2,SGP,Silent Circle,Blackphone 2,BP2
S1a40,Lenovo,Lenovo,Vibe S1,S1a40
iris510,iris510,,,
corsica,samsung,Samsung,Galaxy Pocket Neo S5310,corsica
vivalto3mveml3gsea,samsung,Samsung,Galaxy Ace 4 LTE G313,vivalto3mveml3gsea
A536,Lenovo,Lenovo,A536,A536
logan2g,samsung,Samsung,Galaxy Star Pro S7260,logan2g
ASUS_Z01H_1,asus,Asus,Zenfone 3 Zoom ZE553KL,ASUS_Z01H_1
gilda_a21,ADVAN,,,
E6653,Sony,Sony,Xperia Z5,E6653
heroqltetmo,samsung,Samsung,Galaxy S7,heroqltetmo
HWVKY,HUAWEI,Huawei,P10 Plus,
Android,POLYTRON_L501,,,
z2,lge,LGE,G Flex2,z2
CT-88,alps,,,
luv20ds,lge,LGE,L20,luv20ds
P821E10,ZTE,ZTE,Kis 3,P821E10
acer_Z500,acer,Acer,Liquid Z500,acer_Z500
HWCAM-H,HUAWEI,Huawei,Y6II,HWCAM-H
D2403,Sony,Sony,Xperia M2 Aqua,D2403
w7ds,lge,LGE,L90 Dual D410,w7ds
luv80ds,lge,LGE,L Bello,luv80ds
C1905,Sony,Sony,Xperia M,C1905
jason,Xiaomi,Xiaomi,Mi Note 3,
lava35_sp31_lte_thai,Pixel V2+,,,
hero2qlteue,samsung,Samsung,Galaxy S7 edge,hero2qlteue
E2115,Sony,Sony,Xperia E4 Dual,E2115
W90918A1_ifinix_HOT_3,INFINIX,Infinix,Hot 3,
S650_ROW,Lenovo,Lenovo,S650,S650_ROW
R1011,OPPO,Oppo,Joy Plus,R1011
"iPhone5,1",Apple,Apple,iPhone 5,"iPhone5,1"
zee,lge,LGE,G Flex,zee
M5c,meizu,Meizu,M5c,
E2303,Sony,Sony,Xperia M4 Aqua,E2303
MX6,Meizu,Meizu,MX6,
htc_himaul,htc,HTC,One M9,htc_himaul
falcon_umtsds,motorola,Motorola,Moto G,falcon_umtsds
K10000_Pro,OUKITEL,,,
OnePlus3T,OnePlus,OnePlus,3T,
HS8952QC,Hisense,Hisense,AGM X1,HS8952QC
POLYTRON_R2509,POLYTRON,,,
A319,Lenovo,Lenovo,A319,A319
cedric,motorola,Motorola,Moto G5,
GT-P6200,samsung,Samsung,P6200 Galaxy Tab 7.0 Plus,GT-P6200
klteatt,samsung,Samsung,Galaxy S5,klteatt
K33a42,Lenovo,Lenovo,K6 Power,K33a42
Y12,HIMAX,,,
ND1,Nokia,Nokia,5,
s5513ap,WIKO,Wiko,Ridge 4G,s5513ap
hwH30-U10,Huawei,Honor,3C,hwH30-U10
htc_himauhl,htc,HTC,One M9,htc_himauhl
z2_plus_hw,ZUK,Lenovo,ZUK Z2,z2_plus_hw
C1-S02,Coolpad,Coolpad,C1-S02,
A0001,oneplus,OnePlus,One,A0001
gt5note8lte,samsung,Samsung,Galaxy Tab A 8.0,gt5note8lte
SO-03F,docomo,Sony,Xperia Z2,SO-03F
SCL24,KDDI,Samsung,Galaxy Note Edge,SCL24
helium,Xiaomi,Xiaomi,Mi Max,helium
EVERCOSS A7B,EVERCOSS A7B,,,
j23g,samsung,Samsung,Galaxy J2,j23g
A850_ROW,Lenovo,Lenovo,A850,A850_ROW
EG98,Smartfren,Hisense,EG98,EG98
Z1,SPC,SPC,Z1,Z1
vee4ds,lge,LGE,Optimus L4 II Dual E445,vee4ds
Cynus_F10,Mobistel,Mobistel,Cynus F10,Cynus_F10
POLYMER_X,POLYMER_X,,,
surnia_umts,motorola,Motorola,Moto E (2nd gen),surnia_umts
GIONEE,GIONEE,,,
